Load,PV_rel
0.53515626,0
0.58496094,0
0.41503906,0.005559665
0.4802246,0.038878676
0.39453126,0.080066976
0.38574218,0.122512413
0.3996582,0.144268683
0.44018556,0.135312798
0.3798828,0.104766312
0.36035158,0.054193336
0.47973632,0.007654894
0.36010742,0
0.41992188,0
0.43969726,0
0.40014648,0
0.60473634,0
1.25024414,0
1.21972656,0
1.2956543,0
1.15429686,0
0.43530274,0
0.3400879,0
0.45996094,0
0.33984374,0
0.37988282,0
0.40039062,0
0.35759626,0.004039406
0.34235492,0.030268747
0.45996092,0.065731713
0.39965822,0.093252299
0.40039062,0.101618596
0.45996094,0.085850781
0.3798828,0.052522026
0.37988282,0.020421172
0.4802246,0.002236535
0.42504884,0
1.00463866,0
